IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.218.174.118,8880,8880,FALSE,HK,Asia Pacific,Hong Kong,49,12.43
47.74.26.196,2052,2052,FALSE,HK,Asia Pacific,Hong Kong,154,12.42
8.210.21.65,8080,8080,FALSE,HK,Asia Pacific,Hong Kong,43,12.4
8.218.126.53,2052,2052,FALSE,HK,Asia Pacific,Hong Kong,33,12.39
8.210.3.24,8443,8443,TRUE,HK,Asia Pacific,Hong Kong,40,12.34
8.217.159.210,2052,2052,FALSE,HK,Asia Pacific,Hong Kong,45,12.34
8.210.151.69,2096,2096,TRUE,HK,Asia Pacific,Hong Kong,101,12.31
8.217.149.28,80,80,FALSE,HK,Asia Pacific,Hong Kong,55,12.25
8.217.250.222,80,80,FALSE,HK,Asia Pacific,Hong Kong,50,12.19
8.218.243.95,8443,8443,TRUE,HK,Asia Pacific,Hong Kong,103,12.16
8.218.143.10,8880,8880,FALSE,HK,Asia Pacific,Hong Kong,41,12.16
8.217.250.222,2052,2052,FALSE,HK,Asia Pacific,Hong Kong,54,12.15
8.218.158.94,2096,2096,TRUE,HK,Asia Pacific,Hong Kong,92,12.14
8.218.156.91,2082,2082,FALSE,HK,Asia Pacific,Hong Kong,41,12.12
47.243.183.127,8443,8443,TRUE,HK,Asia Pacific,Hong Kong,76,12.05
47.242.176.237,2053,2053,TRUE,HK,Asia Pacific,Hong Kong,50,11.97
8.218.48.92,2087,2087,TRUE,HK,Asia Pacific,Hong Kong,103,11.96
8.218.22.210,2086,2086,FALSE,HK,Asia Pacific,Hong Kong,40,11.96
8.210.192.93,2086,2086,FALSE,HK,Asia Pacific,Hong Kong,64,11.81
8.218.8.142,2086,2086,FALSE,HK,Asia Pacific,Hong Kong,57,11.81
8.218.22.210,2082,2082,FALSE,HK,Asia Pacific,Hong Kong,64,11.79
8.218.22.210,80,80,FALSE,HK,Asia Pacific,Hong Kong,53,11.74
8.218.211.17,2082,2082,FALSE,HK,Asia Pacific,Hong Kong,46,11.7
47.243.107.148,2053,2053,TRUE,HK,Asia Pacific,Hong Kong,59,11.69
8.218.142.253,80,80,FALSE,HK,Asia Pacific,Hong Kong,40,11.61
8.218.142.253,2095,2095,FALSE,HK,Asia Pacific,Hong Kong,37,11.59
8.218.146.204,8880,8880,FALSE,HK,Asia Pacific,Hong Kong,39,11.59
47.76.32.108,2082,2082,FALSE,HK,Asia Pacific,Hong Kong,35,11.56
8.210.151.69,2083,2083,TRUE,HK,Asia Pacific,Hong Kong,113,11.55
8.218.158.94,2052,2052,FALSE,HK,Asia Pacific,Hong Kong,65,11.54
8.218.156.91,2095,2095,FALSE,HK,Asia Pacific,Hong Kong,48,11.54
8.218.188.129,2052,2052,FALSE,HK,Asia Pacific,Hong Kong,41,11.52
8.218.142.253,2052,2052,FALSE,HK,Asia Pacific,Hong Kong,43,11.51
8.218.126.53,2095,2095,FALSE,HK,Asia Pacific,Hong Kong,43,11.49
8.217.149.28,2083,2083,TRUE,HK,Asia Pacific,Hong Kong,49,11.44
47.74.26.196,80,80,FALSE,HK,Asia Pacific,Hong Kong,183,11.44
8.210.119.11,443,443,TRUE,HK,Asia Pacific,Hong Kong,70,11.43
8.218.22.210,2096,2096,TRUE,HK,Asia Pacific,Hong Kong,98,11.42
8.218.158.94,2083,2083,TRUE,HK,Asia Pacific,Hong Kong,41,11.4
47.236.171.205,2086,2086,FALSE,HK,Asia Pacific,Hong Kong,77,11.38
8.218.110.180,2087,2087,TRUE,HK,Asia Pacific,Hong Kong,65,11.37
8.218.143.10,80,80,FALSE,HK,Asia Pacific,Hong Kong,59,11.37
8.210.192.93,2095,2095,FALSE,HK,Asia Pacific,Hong Kong,40,11.34
8.217.64.144,443,443,TRUE,HK,Asia Pacific,Hong Kong,70,11.18
47.76.178.146,8443,8443,TRUE,HK,Asia Pacific,Hong Kong,63,11.09
8.210.156.6,2083,2083,TRUE,HK,Asia Pacific,Hong Kong,65,11.09
47.245.57.38,2053,2053,TRUE,HK,Asia Pacific,Hong Kong,223,11.07
8.218.174.118,80,80,FALSE,HK,Asia Pacific,Hong Kong,81,11.03
8.217.250.222,2096,2096,TRUE,HK,Asia Pacific,Hong Kong,87,11.02
8.217.145.40,2053,2053,TRUE,HK,Asia Pacific,Hong Kong,93,11.01
47.242.232.14,2087,2087,TRUE,HK,Asia Pacific,Hong Kong,63,10.98
8.218.126.53,2082,2082,FALSE,HK,Asia Pacific,Hong Kong,42,10.96
47.245.57.38,80,80,FALSE,HK,Asia Pacific,Hong Kong,158,10.95
8.218.188.129,2053,2053,TRUE,HK,Asia Pacific,Hong Kong,61,10.95
8.218.110.180,2086,2086,FALSE,HK,Asia Pacific,Hong Kong,41,10.92
47.242.234.127,2096,2096,TRUE,HK,Asia Pacific,Hong Kong,46,10.91
8.218.119.115,8880,8880,FALSE,HK,Asia Pacific,Hong Kong,38,10.83
8.210.174.156,2053,2053,TRUE,HK,Asia Pacific,Hong Kong,107,10.78
8.218.127.249,2087,2087,TRUE,HK,Asia Pacific,Hong Kong,59,10.78
8.210.151.69,8443,8443,TRUE,HK,Asia Pacific,Hong Kong,58,10.77
8.210.66.190,2053,2053,TRUE,HK,Asia Pacific,Hong Kong,80,10.76
8.219.110.88,2083,2083,TRUE,HK,Asia Pacific,Hong Kong,171,10.73
8.210.21.65,8443,8443,TRUE,HK,Asia Pacific,Hong Kong,42,10.68
8.218.2.181,2087,2087,TRUE,HK,Asia Pacific,Hong Kong,91,10.63
8.218.149.193,8080,8080,FALSE,HK,Asia Pacific,Hong Kong,42,10.62
8.218.149.193,80,80,FALSE,HK,Asia Pacific,Hong Kong,45,10.61
8.218.105.223,2095,2095,FALSE,HK,Asia Pacific,Hong Kong,46,10.55
8.218.48.92,2052,2052,FALSE,HK,Asia Pacific,Hong Kong,45,10.46
8.210.245.224,80,80,FALSE,HK,Asia Pacific,Hong Kong,35,10.41
8.217.193.25,2082,2082,FALSE,HK,Asia Pacific,Hong Kong,49,10.39
47.74.26.196,8080,8080,FALSE,HK,Asia Pacific,Hong Kong,132,10.37
8.218.143.10,8443,8443,TRUE,HK,Asia Pacific,Hong Kong,82,10.36
8.218.146.204,2095,2095,FALSE,HK,Asia Pacific,Hong Kong,38,10.34
47.76.146.1,80,80,FALSE,HK,Asia Pacific,Hong Kong,39,10.33
47.245.57.38,2095,2095,FALSE,HK,Asia Pacific,Hong Kong,161,10.31
8.217.149.28,2087,2087,TRUE,HK,Asia Pacific,Hong Kong,74,10.29
8.217.164.10,2096,2096,TRUE,HK,Asia Pacific,Hong Kong,91,10.28
8.218.243.95,443,443,TRUE,HK,Asia Pacific,Hong Kong,86,10.25
47.242.17.250,8080,8080,FALSE,HK,Asia Pacific,Hong Kong,45,10.25
47.243.86.79,2053,2053,TRUE,HK,Asia Pacific,Hong Kong,63,10.25
8.217.147.230,8443,8443,TRUE,HK,Asia Pacific,Hong Kong,61,10.24
8.218.174.118,2082,2082,FALSE,HK,Asia Pacific,Hong Kong,42,10.24
