IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.89.142.227,443,443,true,FRA,Europe,Frankfurt,179,8.58
34.65.185.192,443,443,true,FRA,Europe,Frankfurt,165,8.57
34.90.57.238,443,443,true,FRA,Europe,Frankfurt,174,8.56
35.246.165.79,443,443,true,FRA,Europe,Frankfurt,196,8.56
34.90.76.213,443,443,true,FRA,Europe,Frankfurt,178,8.56
34.90.191.243,443,443,true,FRA,Europe,Frankfurt,178,8.54
34.89.142.227,443,443,true,FRA,Europe,Frankfurt,258,8.54
34.154.252.49,443,443,true,FRA,Europe,Frankfurt,175,8.53
34.48.64.127,443,443,true,IAD,North America,Ashburn,234,8.50
34.91.173.96,443,443,true,FRA,Europe,Frankfurt,162,8.50
35.232.39.116,80,80,false,DFW,North America,Dallas,205,8.48
34.86.212.23,443,443,true,IAD,North America,Ashburn,230,8.48
34.65.50.248,443,443,true,AMS,Europe,Amsterdam,178,8.47
34.65.29.231,443,443,true,FRA,Europe,Frankfurt,212,8.47
34.86.212.23,443,443,true,IAD,North America,Ashburn,215,8.47
34.90.244.116,443,443,true,FRA,Europe,Frankfurt,189,8.46
34.118.90.226,443,443,true,FRA,Europe,Frankfurt,188,8.46
34.90.244.116,443,0,true,FRA,Europe,Frankfurt,178,8.45
34.65.50.248,443,443,true,FRA,Europe,Frankfurt,174,8.45
34.65.239.157,443,443,true,FRA,Europe,Frankfurt,176,8.45
34.90.198.51,443,443,true,FRA,Europe,Frankfurt,175,8.45
34.91.199.167,443,443,true,FRA,Europe,Frankfurt,181,8.44
34.34.36.61,443,443,true,FRA,Europe,Frankfurt,176,8.44
34.89.241.21,443,443,true,FRA,Europe,Frankfurt,243,8.43
34.32.169.219,443,443,true,FRA,Europe,Frankfurt,174,8.42
34.65.249.150,443,443,true,FRA,Europe,Frankfurt,176,8.41
34.91.199.167,443,443,true,FRA,Europe,Frankfurt,219,8.40
34.90.42.240,443,443,true,FRA,Europe,Frankfurt,180,8.39
34.116.175.112,443,443,true,FRA,Europe,Frankfurt,187,8.38
34.90.244.116,443,443,true,FRA,Europe,Frankfurt,180,8.38
34.91.240.66,443,443,true,FRA,Europe,Frankfurt,179,8.37
35.234.78.66,443,443,true,FRA,Europe,Frankfurt,168,8.36
34.65.5.240,443,443,true,FRA,Europe,Frankfurt,174,8.36
34.90.106.181,443,443,true,FRA,Europe,Frankfurt,179,8.36
