IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
131.186.63.184,2096,2096,TRUE,JP,Asia Pacific,Tokyo,151,3.64
158.101.69.12,2096,2096,TRUE,JP,Asia Pacific,Tokyo,127,3.63
158.101.81.4,2087,2087,TRUE,JP,Asia Pacific,Tokyo,85,3.63
158.178.242.56,2082,2082,FALSE,SG,Asia Pacific,SGgapore,3,2.33
158.179.186.123,2082,2082,FALSE,HK,Asia Pacific,Hong Kong,144,3.62
168.138.196.237,8443,8443,TRUE,JP,Asia Pacific,Tokyo,175,3.61
158.179.181.107,2095,2095,FALSE,JP,Asia Pacific,Tokyo,72,3.61
132.145.114.250,2087,2087,TRUE,JP,Asia Pacific,Tokyo,99,3.6
168.138.198.202,2087,2087,TRUE,JP,Asia Pacific,Tokyo,104,3.58
140.238.32.238,2096,2096,TRUE,JP,Asia Pacific,Tokyo,89,3.57
132.145.114.4,2053,2053,TRUE,JP,Asia Pacific,Tokyo,111,3.56
158.179.176.239,2095,2095,FALSE,JP,Asia Pacific,Tokyo,82,3.55
158.101.70.155,2087,2087,TRUE,JP,Asia Pacific,Tokyo,118,3.54
168.138.200.155,2083,2083,TRUE,JP,Asia Pacific,Tokyo,157,3.52
168.138.206.109,2053,2053,TRUE,JP,Asia Pacific,Tokyo,139,3.52
158.101.150.126,8880,8880,FALSE,JP,Asia Pacific,Tokyo,79,3.51
158.179.178.142,2053,2053,TRUE,JP,Asia Pacific,Tokyo,82,3.49
141.147.168.13,2053,2053,TRUE,JP,Asia Pacific,Tokyo,149,3.47
129.153.61.213,443,443,TRUE,CA,North America,Toronto,225,7.01
168.138.192.185,2087,2087,TRUE,JP,Asia Pacific,Tokyo,136,3.42
132.145.121.247,2053,2053,TRUE,JP,Asia Pacific,Tokyo,100,3.41
140.238.41.161,443,443,TRUE,JP,Asia Pacific,Tokyo,111,3.4
158.101.145.246,2096,2096,TRUE,JP,Asia Pacific,Tokyo,176,3.39
141.147.178.202,2083,2083,TRUE,JP,Asia Pacific,Tokyo,166,3.37
140.238.32.112,2086,2086,FALSE,JP,Asia Pacific,Tokyo,81,3.36
132.145.114.250,8443,8443,TRUE,JP,Asia Pacific,Tokyo,104,3.36
131.186.40.31,8880,8880,FALSE,HK,Asia Pacific,Hong Kong,141,3.36
158.101.84.123,2096,2096,TRUE,JP,Asia Pacific,Tokyo,110,3.35
168.138.202.145,2096,2096,TRUE,JP,Asia Pacific,Tokyo,198,3.35
131.186.38.135,8443,8443,TRUE,JP,Asia Pacific,Tokyo,81,3.34
131.186.40.31,80,80,FALSE,HK,Asia Pacific,Hong Kong,133,3.31
158.101.137.74,2082,2082,FALSE,JP,Asia Pacific,Tokyo,81,3.3
141.147.175.230,2083,2083,TRUE,JP,Asia Pacific,Tokyo,76,3.28
168.138.211.188,2087,2087,TRUE,HK,Asia Pacific,Hong Kong,210,3.26
158.179.176.239,2053,2053,TRUE,JP,Asia Pacific,Tokyo,94,3.26
140.238.32.112,8080,8080,FALSE,JP,Asia Pacific,Tokyo,77,3.25
168.138.200.155,8443,8443,TRUE,JP,Asia Pacific,Tokyo,72,3.22
151.145.70.243,443,0,TRUE,JP,Asia Pacific,Tokyo,71,3.2
168.138.198.53,2053,2053,TRUE,JP,Asia Pacific,Tokyo,132,3.19
158.179.180.233,8443,8443,TRUE,JP,Asia Pacific,Tokyo,114,3.18
158.179.178.142,2052,2052,FALSE,JP,Asia Pacific,Tokyo,70,3.16
158.101.140.154,8080,8080,FALSE,JP,Asia Pacific,Tokyo,91,3.13
158.179.183.2,2086,2086,FALSE,JP,Asia Pacific,Tokyo,74,3.13
141.147.174.7,2095,2095,FALSE,JP,Asia Pacific,Tokyo,70,3.12
168.138.211.217,2082,2082,FALSE,JP,Asia Pacific,Tokyo,85,3.11
168.138.211.188,2096,2096,TRUE,HK,Asia Pacific,Hong Kong,221,3.11
132.145.121.125,2086,2086,FALSE,JP,Asia Pacific,Tokyo,70,3.09
146.235.219.98,443,443,TRUE,US,North America,San Jose,283,3.08
168.138.202.145,8880,8880,FALSE,JP,Asia Pacific,Tokyo,76,3.08
158.101.137.74,2087,2087,TRUE,JP,Asia Pacific,Tokyo,102,3.07
138.3.215.11,2096,2096,TRUE,HK,Asia Pacific,Hong Kong,160,3.05
158.101.140.252,2082,2082,FALSE,JP,Asia Pacific,Tokyo,70,3.05
141.147.178.135,2083,2083,TRUE,HK,Asia Pacific,Hong Kong,129,3.04
140.238.60.71,8080,8080,FALSE,JP,Asia Pacific,Tokyo,83,3.03
204.216.105.106,8443,8443,TRUE,CA,North America,Toronto,289,5.1
131.186.40.31,2087,2087,TRUE,HK,Asia Pacific,Hong Kong,133,3.03
138.3.208.9,2096,2096,TRUE,JP,Asia Pacific,Tokyo,164,3.01
138.3.222.135,443,443,TRUE,JP,Asia Pacific,Tokyo,78,3.01
