IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.219.222.8,80,80,FALSE,SG,Asia Pacific,SGgapore,5,11.97
8.219.99.169,2052,2052,FALSE,SG,Asia Pacific,SGgapore,4,11.97
8.210.101.157,2087,2087,TRUE,HK,Asia Pacific,Hong Kong,65,11.96
47.245.26.167,2087,2087,TRUE,JP,Asia Pacific,Tokyo,205,11.96
8.219.250.239,2083,2083,TRUE,SG,Asia Pacific,SGgapore,135,11.96
47.74.0.183,2083,2083,TRUE,JP,Asia Pacific,Tokyo,193,11.95
47.245.54.98,8080,8080,FALSE,JP,Asia Pacific,Tokyo,85,11.95
47.245.30.208,2087,2087,TRUE,JP,Asia Pacific,Tokyo,176,11.95
8.209.243.99,2086,2086,FALSE,JP,Asia Pacific,Tokyo,69,11.95
47.245.11.118,2087,2087,TRUE,JP,Asia Pacific,Tokyo,175,11.95
8.222.154.227,8880,8880,FALSE,SG,Asia Pacific,SGgapore,75,11.95
8.222.164.209,2053,2053,TRUE,SG,Asia Pacific,SGgapore,99,11.95
8.218.181.189,8443,8443,TRUE,HK,Asia Pacific,Hong Kong,89,11.94
47.74.13.200,2087,2087,TRUE,JP,Asia Pacific,Tokyo,140,11.94
47.245.11.118,2052,2052,FALSE,JP,Asia Pacific,Tokyo,84,11.94
8.219.191.40,2086,2086,FALSE,SG,Asia Pacific,SGgapore,14,11.94
47.245.11.108,2096,2096,TRUE,JP,Asia Pacific,Tokyo,179,11.93
47.245.8.156,2087,2087,TRUE,JP,Asia Pacific,Tokyo,256,11.93
47.74.54.223,2083,2083,TRUE,JP,Asia Pacific,Tokyo,147,11.93
8.219.237.250,80,80,FALSE,SG,Asia Pacific,SGgapore,32,11.93
47.236.116.26,2083,2083,TRUE,SG,Asia Pacific,SGgapore,146,11.93
8.219.196.117,2083,2083,TRUE,SG,Asia Pacific,SGgapore,68,11.93
47.74.46.84,2053,2053,TRUE,JP,Asia Pacific,Tokyo,209,11.92
8.219.51.211,443,443,TRUE,SG,Asia Pacific,SGgapore,35,11.92
8.222.129.245,2083,2083,TRUE,SG,Asia Pacific,SGgapore,129,11.92
47.74.12.139,2096,2096,TRUE,JP,Asia Pacific,Tokyo,183,11.91
47.91.2.5,80,80,FALSE,JP,Asia Pacific,Tokyo,93,11.91
8.209.252.13,2096,2096,TRUE,JP,Asia Pacific,Tokyo,142,11.91
