IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
151.145.71.40,80,80,FALSE,JP,Asia Pacific,Tokyo,77,9.89
140.238.38.245,8080,8080,FALSE,JP,Asia Pacific,Tokyo,95,9.89
84.8.154.158,443,443,TRUE,DE,Europe,DEnkfurt,282,9.89
132.145.112.168,2053,2053,TRUE,JP,Asia Pacific,Tokyo,69,9.89
140.238.38.245,2086,2086,FALSE,JP,Asia Pacific,Tokyo,71,9.88
152.70.52.92,443,443,TRUE,DE,Europe,DEnkfurt,206,9.88
158.101.149.81,2087,2087,TRUE,JP,Asia Pacific,Tokyo,68,9.87
138.3.214.43,80,80,FALSE,JP,Asia Pacific,Tokyo,78,9.87
131.186.34.244,80,80,FALSE,JP,Asia Pacific,Tokyo,80,9.87
141.147.115.162,443,443,TRUE,DE,Europe,DEnkfurt,190,9.86
168.138.211.131,8880,8880,FALSE,JP,Asia Pacific,Tokyo,91,9.85
168.138.208.164,2096,2096,TRUE,JP,Asia Pacific,Tokyo,111,9.84
140.238.61.78,2082,2082,FALSE,JP,Asia Pacific,Tokyo,89,9.83
158.101.158.251,2087,2087,TRUE,JP,Asia Pacific,Tokyo,107,9.83
193.122.61.9,443,443,TRUE,US,North America,US,177,9.83
141.148.225.119,443,0,TRUE,NL,Europe,NLterdam,196,9.82
141.148.229.169,443,443,TRUE,DE,Europe,DEnkfurt,188,9.82
158.101.140.154,80,80,FALSE,JP,Asia Pacific,Tokyo,71,9.81
131.186.34.244,8080,8080,FALSE,JP,Asia Pacific,Tokyo,74,9.81
158.180.17.67,443,443,TRUE,DE,Europe,DEnkfurt,186,9.81
132.145.120.115,2053,2053,TRUE,JP,Asia Pacific,Tokyo,103,9.81
140.238.48.97,2095,2095,FALSE,JP,Asia Pacific,Tokyo,78,9.81
158.101.150.126,2087,2087,TRUE,JP,Asia Pacific,Tokyo,104,9.81
138.3.212.162,8880,8880,FALSE,JP,Asia Pacific,Tokyo,83,9.8
151.145.65.203,80,80,FALSE,JP,Asia Pacific,Tokyo,77,9.8
141.147.167.44,2087,2087,TRUE,JP,Asia Pacific,Tokyo,75,9.8
140.238.36.216,2095,2095,FALSE,JP,Asia Pacific,Tokyo,70,9.8
131.186.62.26,2083,2083,TRUE,JP,Asia Pacific,Tokyo,122,9.8
130.162.61.18,80,80,FALSE,DE,Europe,DEnkfurt,164,9.79
151.145.75.28,80,80,FALSE,JP,Asia Pacific,Tokyo,81,9.79
84.8.144.155,443,443,TRUE,DE,Europe,DEnkfurt,192,9.79
158.101.152.221,8443,8443,TRUE,JP,Asia Pacific,Tokyo,117,9.78
132.145.121.175,8880,8880,FALSE,JP,Asia Pacific,Tokyo,76,9.78
140.238.36.216,80,80,FALSE,JP,Asia Pacific,Tokyo,78,9.78
131.186.61.45,8880,8880,FALSE,JP,Asia Pacific,Tokyo,75,9.78
84.8.154.204,443,443,TRUE,DE,Europe,DEnkfurt,218,9.78
132.145.120.118,2096,2096,TRUE,JP,Asia Pacific,Tokyo,151,9.78
141.147.33.183,443,443,TRUE,DE,Europe,DEnkfurt,167,9.77
140.238.50.99,80,80,FALSE,JP,Asia Pacific,Tokyo,70,9.76
141.144.197.165,443,443,TRUE,DE,Europe,DEnkfurt,242,9.76
131.186.38.135,2052,2052,FALSE,JP,Asia Pacific,Tokyo,75,9.75
129.146.7.98,443,443,TRUE,US,North America,Los Angeles,210,9.75
141.144.199.32,443,443,TRUE,DE,Europe,DEnkfurt,172,9.75
141.144.204.27,8443,443,TRUE,NL,Europe,NLterdam,185,9.75
158.180.14.208,443,443,TRUE,DE,Europe,DEnkfurt,175,9.75
158.101.139.42,2053,2053,TRUE,JP,Asia Pacific,Tokyo,94,9.74
140.238.46.138,8080,8080,FALSE,JP,Asia Pacific,Tokyo,74,9.74
140.238.52.81,2083,2083,TRUE,JP,Asia Pacific,Tokyo,81,9.73
140.238.44.118,2082,2082,FALSE,JP,Asia Pacific,Tokyo,81,9.73
140.238.39.87,2053,2053,TRUE,JP,Asia Pacific,Tokyo,80,9.72
132.145.113.148,2096,2096,TRUE,JP,Asia Pacific,Tokyo,135,9.72
131.186.46.75,2083,2083,TRUE,JP,Asia Pacific,Tokyo,103,9.72
140.238.44.118,2096,2096,TRUE,JP,Asia Pacific,Tokyo,79,9.72
132.145.114.250,2082,2082,FALSE,JP,Asia Pacific,Tokyo,75,9.71
158.101.149.71,2052,2052,FALSE,JP,Asia Pacific,Tokyo,69,9.71
131.186.37.49,2095,2095,FALSE,JP,Asia Pacific,Tokyo,89,9.7
131.186.44.38,2053,2053,TRUE,JP,Asia Pacific,Tokyo,136,9.7
152.70.59.27,443,443,TRUE,DE,Europe,DEnkfurt,199,9.7
158.101.131.218,8880,8880,FALSE,JP,Asia Pacific,Tokyo,74,9.7
131.186.47.255,2082,2082,FALSE,JP,Asia Pacific,Tokyo,82,9.69
141.147.93.23,443,443,TRUE,DE,Europe,DEnkfurt,178,9.69
138.3.210.114,2082,2082,FALSE,JP,Asia Pacific,Tokyo,81,9.69
138.3.210.114,8880,8880,FALSE,JP,Asia Pacific,Tokyo,83,9.69
151.145.68.166,2087,2087,TRUE,JP,Asia Pacific,Tokyo,370,9.69
158.101.137.74,80,80,FALSE,JP,Asia Pacific,Tokyo,70,9.69
132.145.125.165,2083,2083,TRUE,JP,Asia Pacific,Tokyo,76,9.68
158.101.149.81,80,80,FALSE,JP,Asia Pacific,Tokyo,75,9.68
84.8.149.83,443,443,TRUE,NL,Europe,NLterdam,192,9.68
168.138.209.244,2053,2053,TRUE,JP,Asia Pacific,Tokyo,156,9.68
131.186.44.38,2086,2086,FALSE,JP,Asia Pacific,Tokyo,86,9.68
168.138.192.185,2096,2096,TRUE,JP,Asia Pacific,Tokyo,105,9.68
141.147.186.210,2083,2083,TRUE,JP,Asia Pacific,Tokyo,72,9.68
140.238.59.255,2087,2087,TRUE,JP,Asia Pacific,Tokyo,80,9.68
138.3.212.144,2086,2086,FALSE,JP,Asia Pacific,Tokyo,81,9.68
158.101.81.4,8080,8080,FALSE,JP,Asia Pacific,Tokyo,70,9.68
158.101.90.190,8080,8080,FALSE,JP,Asia Pacific,Tokyo,70,9.67
141.147.105.52,443,443,TRUE,DE,Europe,DEnkfurt,193,9.67
132.145.120.182,2087,2087,TRUE,JP,Asia Pacific,Tokyo,133,9.67
151.145.65.8,2053,2053,TRUE,JP,Asia Pacific,Tokyo,228,9.66
132.145.120.182,2083,2083,TRUE,JP,Asia Pacific,Tokyo,152,9.66
158.101.137.96,2087,2087,TRUE,JP,Asia Pacific,Tokyo,77,9.66
158.101.137.96,2082,2082,FALSE,JP,Asia Pacific,Tokyo,70,9.66
140.238.44.118,2086,2086,FALSE,JP,Asia Pacific,Tokyo,86,9.65
152.70.48.118,443,443,TRUE,DE,Europe,DEnkfurt,161,9.65
131.186.34.244,2052,2052,FALSE,JP,Asia Pacific,Tokyo,82,9.64
132.145.120.103,2083,2083,TRUE,JP,Asia Pacific,Tokyo,99,9.64
140.238.46.138,2096,2096,TRUE,JP,Asia Pacific,Tokyo,77,9.63
158.101.68.48,2053,2053,TRUE,JP,Asia Pacific,Tokyo,82,9.62
151.145.69.174,8080,8080,FALSE,JP,Asia Pacific,Tokyo,87,9.62
168.138.202.169,2052,2052,FALSE,JP,Asia Pacific,Tokyo,86,9.61
130.61.87.219,443,0,TRUE,DE,Europe,DEnkfurt,208,9.61
