IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
158.101.143.49,2096,2096,TRUE,JP,Asia Pacific,Tokyo,74,9.08
150.230.112.131,443,443,TRUE,DE,Europe,DEnkfurt,194,9.08
168.138.196.164,80,80,FALSE,HK,Asia Pacific,Hong Kong,150,9.07
144.21.32.193,2087,443,TRUE,NL,Europe,NLterdam,175,9.07
158.101.137.74,2083,2083,TRUE,JP,Asia Pacific,Tokyo,82,9.07
168.138.205.38,2095,2095,FALSE,JP,Asia Pacific,Tokyo,77,9.06
151.145.65.203,2083,2083,TRUE,JP,Asia Pacific,Tokyo,162,9.06
132.145.125.165,8880,8880,FALSE,JP,Asia Pacific,Tokyo,74,9.04
140.238.54.184,2095,2095,FALSE,JP,Asia Pacific,Tokyo,89,9.04
132.145.115.17,2087,2087,TRUE,JP,Asia Pacific,Tokyo,103,9.03
132.145.114.250,2087,2087,TRUE,JP,Asia Pacific,Tokyo,134,9.03
141.147.166.95,2087,2087,TRUE,JP,Asia Pacific,Tokyo,71,9.02
140.238.60.177,2083,2083,TRUE,JP,Asia Pacific,Tokyo,95,9.02
151.145.70.28,2096,2096,TRUE,JP,Asia Pacific,Tokyo,104,9.02
140.238.50.32,2052,2052,FALSE,JP,Asia Pacific,Tokyo,74,9.01
140.238.53.190,8443,8443,TRUE,JP,Asia Pacific,Tokyo,110,9.01
141.147.185.149,2095,2095,FALSE,JP,Asia Pacific,Tokyo,84,9.01
131.186.47.255,2095,2095,FALSE,JP,Asia Pacific,Tokyo,67,9.01
141.147.179.64,2096,2096,TRUE,JP,Asia Pacific,Tokyo,77,9.01
140.238.54.182,2083,2083,TRUE,JP,Asia Pacific,Tokyo,108,9
140.238.54.164,2052,2052,FALSE,JP,Asia Pacific,Tokyo,74,8.99
140.238.59.255,2053,2053,TRUE,JP,Asia Pacific,Tokyo,71,8.99
