IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.222.224.17,2083,2083,TRUE,SG,Asia Pacific,SGgapore,92,10.57
8.217.239.116,2086,2086,FALSE,HK,Asia Pacific,Hong Kong,49,10.57
47.236.172.71,2096,2096,TRUE,SG,Asia Pacific,SGgapore,69,10.56
8.219.193.22,2052,2052,FALSE,SG,Asia Pacific,SGgapore,180,10.56
8.219.84.102,2053,2053,TRUE,SG,Asia Pacific,SGgapore,84,10.56
47.236.253.41,8880,8880,FALSE,SG,Asia Pacific,SGgapore,25,10.55
8.219.74.35,8880,8880,FALSE,SG,Asia Pacific,SGgapore,20,10.55
8.210.65.1,2052,2052,FALSE,HK,Asia Pacific,Hong Kong,52,10.55
47.245.93.74,443,443,TRUE,SG,Asia Pacific,SGgapore,82,10.55
8.219.196.117,2096,2096,TRUE,SG,Asia Pacific,SGgapore,146,10.55
47.236.168.17,2086,2086,FALSE,SG,Asia Pacific,SGgapore,9,10.55
8.219.195.47,2082,2082,FALSE,SG,Asia Pacific,SGgapore,27,10.54
47.236.125.62,8443,8443,TRUE,JP,Asia Pacific,Tokyo,126,10.54
8.222.236.229,2053,2053,TRUE,SG,Asia Pacific,SGgapore,65,10.54
47.236.158.158,8080,8080,FALSE,SG,Asia Pacific,SGgapore,29,10.53
8.210.151.69,2086,2086,FALSE,HK,Asia Pacific,Hong Kong,87,10.53
47.236.87.246,80,80,FALSE,SG,Asia Pacific,SGgapore,22,10.53
8.219.101.72,2052,2052,FALSE,SG,Asia Pacific,SGgapore,14,10.53
8.219.202.130,2082,2082,FALSE,SG,Asia Pacific,SGgapore,33,10.52
47.236.145.85,2096,2096,TRUE,SG,Asia Pacific,SGgapore,72,10.52
8.219.235.164,2095,2095,FALSE,SG,Asia Pacific,SGgapore,36,10.52
8.222.202.163,2096,2096,TRUE,SG,Asia Pacific,SGgapore,54,10.52
47.236.125.62,2086,2086,FALSE,JP,Asia Pacific,Tokyo,92,10.52
47.236.149.107,8080,8080,FALSE,SG,Asia Pacific,SGgapore,7,10.51
8.222.128.131,80,80,FALSE,SG,Asia Pacific,SGgapore,10,10.51
8.219.202.130,2086,2086,FALSE,SG,Asia Pacific,SGgapore,14,10.51
8.218.143.10,2083,2083,TRUE,HK,Asia Pacific,Hong Kong,233,10.5
8.222.134.170,2087,2087,TRUE,SG,Asia Pacific,SGgapore,134,10.5
47.76.80.72,2096,2096,TRUE,HK,Asia Pacific,Hong Kong,92,10.5
8.219.85.6,2086,2086,FALSE,SG,Asia Pacific,SGgapore,4,10.5
8.222.244.192,2052,2052,FALSE,SG,Asia Pacific,SGgapore,22,10.49
8.219.174.142,2053,2053,TRUE,SG,Asia Pacific,SGgapore,98,10.48
8.219.152.195,8880,8880,FALSE,SG,Asia Pacific,SGgapore,5,10.48
8.219.238.145,2053,2053,TRUE,SG,Asia Pacific,SGgapore,126,10.48
8.222.202.163,8880,8880,FALSE,SG,Asia Pacific,SGgapore,51,10.47
8.218.2.181,2095,2095,FALSE,HK,Asia Pacific,Hong Kong,131,10.47
8.219.111.147,2082,2082,FALSE,SG,Asia Pacific,SGgapore,8,10.47
8.222.180.86,2086,2086,FALSE,SG,Asia Pacific,SGgapore,28,10.47
8.219.163.195,80,80,FALSE,SG,Asia Pacific,SGgapore,17,10.46
8.222.210.182,2082,2082,FALSE,SG,Asia Pacific,SGgapore,5,10.46
8.218.110.180,80,80,FALSE,HK,Asia Pacific,Hong Kong,50,10.45
8.222.140.87,2087,2087,TRUE,SG,Asia Pacific,SGgapore,135,10.45
8.219.40.37,2052,2052,FALSE,SG,Asia Pacific,SGgapore,15,10.45
8.222.137.192,2095,2095,FALSE,SG,Asia Pacific,SGgapore,27,10.45
47.236.125.62,8880,8880,FALSE,JP,Asia Pacific,Tokyo,89,10.44
8.219.174.213,2083,2083,TRUE,SG,Asia Pacific,SGgapore,113,10.44
8.219.84.214,2052,2052,FALSE,SG,Asia Pacific,SGgapore,6,10.44
8.222.254.91,80,80,FALSE,SG,Asia Pacific,SGgapore,4,10.43
8.222.137.192,2052,2052,FALSE,SG,Asia Pacific,SGgapore,20,10.43
8.219.107.199,2095,2095,FALSE,SG,Asia Pacific,SGgapore,5,10.43
8.222.150.197,2095,2095,FALSE,SG,Asia Pacific,SGgapore,32,10.42
8.222.249.190,2052,2052,FALSE,SG,Asia Pacific,SGgapore,11,10.42
8.219.101.72,8080,8080,FALSE,SG,Asia Pacific,SGgapore,13,10.41
8.219.153.237,2095,2095,FALSE,JP,Asia Pacific,Tokyo,83,10.4
8.219.170.232,2095,2095,FALSE,SG,Asia Pacific,SGgapore,17,10.4
8.219.141.174,2053,2053,TRUE,SG,Asia Pacific,SGgapore,84,10.39
8.219.215.214,8880,8880,FALSE,SG,Asia Pacific,SGgapore,4,10.39
8.219.202.130,2086,2086,FALSE,SG,Asia Pacific,SGgapore,19,10.39
8.222.221.86,2095,2095,FALSE,SG,Asia Pacific,SGgapore,17,10.38
8.219.163.195,2096,2096,TRUE,SG,Asia Pacific,SGgapore,82,10.38
